Company,Title,Preferred Qualifications
Google,"Data Analyst, Consumer Hardware","Experience in designing and executing structured analysis, deriving business insights, and evaluating the impact of business decisions.
Experience working with and developing for non-technical users (defining requirements, explaining technical concepts to non-technical business users, etc).
Experience with scripting languages and business intelligence tools.
Demonstrated ability to analyze complex data-sets in a fast-paced environment, with the ability to work strategically and objectively.
Ability to deal with and prioritize multiple priorities while driving towards pragmatic decisions.
Excellent oral and written communication skills, with the ability to communicate findings in a structured and clear manner to a non-technical audience."
Google,Partner Onboarding Manager (Americas),"Master's degree in technical field (Computer Science/Software Engineering) or an MBA.
10 years of partner programs experience at an Enterprise Software (or Cloud) company and experience with competitive partner programs.
Experience in transition channel models to include cloud, SaaS, Services and Advisory Programs.
Ability to collaborate and build relationships with individuals of varying levels of experience and department functions.
Passionate about the partners, possessing the drive to achieve quick results, and have the capacity to assume increasing responsibility in a highly successful, fast-paced global organization.
Exceptionally strong communication skills with the ability to effectively converse with partners, resolve conflict, deliver presentations, and design scalable email correspondence for partners."
Google,"Associate Account Strategist (Ukrainian), GMS Sales","Experience in leading, motivating and working well with others. Demonstrated bias to teamwork.
Demonstrated record in managing and customizing experience to a customer base.
Ability to multi-task and manage multiple projects at a time while paying attention to detail.
Interest in working toward strategic goals.
Proactive, independent worker who is highly organized and interested in the difference they can make through their individual contribution."
Google,"Survey Lead, Google Cloud Support","MBA, MS or PhD degree in a related or quantitative field.
Experience in a multi-channel client/customer support environment (e.g., email, phone, chat, social), and passion to drive collaboration and deliver executive-level presentations.
Capability to think strategically, balancing a broad range of internal and external factors when identifying problems, proposing solutions, and making decisions
Passion for technology and an ability to identify new opportunities, drive collaboration and deliver high-quality, complex projects across teams.
Demonstrated ability to build strong relationships at all levels as a cross-functional influencer.
Ability to consistently deliver quality outputs in a high paced and dynamic environment, work through ambiguity, with an ability to work to tight deadlines."
Google,"Solution Architect, Google Cloud Platform (Apigee)","Experience with or deep understanding of private, public and hybrid cloud design considerations and limitations in the areas of virtualization and global infrastructure, distributed systems, load balancing and networking, and security.
Experience in architecting and/or implementing API based solutions with sound hands-on familiarity with related standards such as HTTP, REST, SOAP and OAuth.
Ability to communicate effectively and influence stakeholders in internal and external engineering teams, product development teams, sales operations teams as well as external Google partners and end consumers.
Excellent presentation, verbal and written communication skills."
Google,Manufacturing Test Engineer,
Google,"Machine Learning Product Specialist, Google Cloud (EMEA)","Master's degree in Computer Science or a related technical technical field.
Experience writing code for Machine Learning purposes. Experience with Big Data and Platform/Infrastructure-as-a-Service (PaaS/IaaS) technologies.
Ability to advise customers on how to collect data for a given problem, clean it, visualize it, extract features from it and choose the right type of learning algorithm.
Ability to explain and demystify relevant techniques to those who are new to Machine Learning, with the ability to advise customers on making tradeoffs.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud technology space."
Google,"Software Engineering Manager, Cloud Storage, Site Reliability Engineering","Hands-on technical experience.
Capable of technical deep-dives into code, networking, operating systems and storage, yet verbally and cognitively agile enough to hold your own in a strategy discussion with Google's executive team.
Proficiency in algorithms, data structures, complexity analysis and software design and/or expertise in Unix/Linux systems, IP networking, performance and application issues.
Demonstrated expertise in recruiting and managing a team of enthusiastic, experienced engineers on large scale projects.
Expertise in problem solving and analyzing global scale distributed systems.
Effective management and communication skills."
Google,"Global Supply Chain Manager, Display/Touch, Consumer Hardware","5 years of relevant work experience in global supply chain management within consumer electronics with knowledge of manufacturing and supply chain processes.
Demonstrated experience collaborating and working cross-functionally with engineering teams and product teams. Experience working and partnering with suppliers.
Experience managing overall ramp readiness with engineering, operations, and supplier teams.
Experience with commodities such as displays, touch and cover glass.
Excellent communication, sourcing, consultation and collaboration skills.
Ability to travel as needed."
Google,"Technical Program Manager, ASIC Development","Master's or PhD degree in engineering.
Experience as an engineer developing hardware or software systems and experience with chip development.
Experience with ASIC methodologies, IP design, and leading tapeouts.
Track record of successful execution within resource and schedule constraints.
Ability to motivate and focus a large collaboration to reach challenging goals.
Outstanding communication and facilitation skills."
Google,"Quantitative Analyst, Ads Quality","Relevant industry or research experience.
Familiarity with both classical and Bayesian inference.
Familiarity with experimental design principles.
Ability to draw conclusions from data and recommend actions.
Demonstrated willingness to both teach others and learn new techniques."
Google,"Software Engineer Manager, Tools and Infrastructure","Master's degree or PhD in Computer Science, Artificial Intelligence, Machine Learning or related technical field.
Experience in technical leadership and people management (managing teams of developers).
Experience managing in a test-driven development environment, and dealing with code refactoring and code bottleneck issues.
Experience in front-end, web testing infrastructure, distributed systems and architecture.
Experience in building test automation frameworks and tools for scalable serving components."
Google,Head of Professional Services,"Experience in application/workload migration with cloud-based enterprise solutions (e.g. AWS, Azure or Google Cloud Platform, etc).
Experience in working with channel partners, systems integrators, and third party developers to deliver successful solutions.
Demonstrated experience in account management, client service and/or management consulting
Demonstrated ability to present technical materials effectively to diverse stakeholder groups, and to engage effectively with senior executives of large enterprises on both technical and non-technical matters.
Ability to work effectively with a cross-functional and geographically dispersed team and customer base."
Google,"Survey Lead, Google Cloud Support","MBA, MS or PhD degree in a related or quantitative field.
Experience in a multi-channel client/customer support environment (e.g., email, phone, chat, social), and passion to drive collaboration and deliver executive-level presentations.
Capability to think strategically, balancing a broad range of internal and external factors when identifying problems, proposing solutions, and making decisions
Passion for technology and an ability to identify new opportunities, drive collaboration and deliver high-quality, complex projects across teams.
Demonstrated ability to build strong relationships at all levels as a cross-functional influencer.
Ability to consistently deliver quality outputs in a high paced and dynamic environment, work through ambiguity, with an ability to work to tight deadlines."
Google,"Technical Trainer Manager, Google Cloud","Experience with Cloud Infrastructure, Data and/or Machine Learning, with an understanding of Cloud technologies.
Experience working in a global team.
Comfort with working in a fast-growing, dynamic and ambiguous environment.
Effective interpersonal skills, with the ability to work in a cross-functional organization.
Travel internationally as required."
Google,"Partner Sales Engineer, Google Cloud","Experience in, and understanding of, data and information management, especially as it relates to big data trends and issues within businesses. Experience using and/or managing databases.
Experience working with Linux. Experience with software lifecycle and build tools as well as experience architecting and developing software for scalable, distributed systems.
Experience architecting and developing solutions for scalable, distributed systems.
Knowledge of enterprise networking and identity management systems. Knowledge of Big Data, PaaS, SaaS, IaaS, public cloud, and related industry and technical concepts, as well as working knowledge of web application development platforms and related technologies.
Ability to craft a compelling message and tailor it for a given audience. Ability to mix deep technical expertise with simple, everyday language to deliver a story that is memorable and useful.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the Cloud technology space."
Google,"Technical Solutions Engineer, Chrome and Android, Google Cloud","Hands-on experience implementing, troubleshooting, and supporting Internet-based applications, web servers, mail servers (e.g. Exchange, Lotus, sendmail, or Postfix), and Linux/Unix operating systems. Experience with Identity Management or Directory Services (e.g. LDAP, AD, etc).
Experience with managing hosted services/SaaS. Familiarity with programming/scripting (i.e. one or more of Java, C, C++, .NET, Python, shell, Perl, JavaScript). Experience with various DBMS, data mining and analysis.
Demonstrated network administration and troubleshooting skills, with an understanding of Linux/Unix system administration. Understanding of Web and Mail-related standards, such as HTTP, HTML, XML, cookie-based SSO, and SMTP.
Demonstrated resourcefulness and attention to detail, with the ability to keep pace with rapid changes in enterprise products.
Effective communication skills, both written and verbal, along with outstanding troubleshooting, follow-through and problem-solving skills."
Google,"Program Manager, Supply Chain Data Management","Ability to work independently with minimal guidance and manage a range of projects.
Excellent organizational, communication and project management skills."
Google,"Machine Learning Product Specialist, Google Cloud (EMEA)","Master's degree in Computer Science or a related technical technical field.
Experience writing code for Machine Learning purposes. Experience with Big Data and Platform/Infrastructure-as-a-Service (PaaS/IaaS) technologies.
Ability to advise customers on how to collect data for a given problem, clean it, visualize it, extract features from it and choose the right type of learning algorithm.
Ability to explain and demystify relevant techniques to those who are new to Machine Learning, with the ability to advise customers on making tradeoffs.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud technology space."
Google,"Head of Partner Engineering, Google Cloud","Master's degree in Computer Science or other relevant technical field.
Industry certification(s) from a cloud provider.
Experience in cloud computing with a broad set of skills (infrastructure, storage, networking, platforms, data and security), with knowledge of the cloud market, competitive dynamics and customer buying behavior.
Familiarity in one or more common web or mobile development language such as Java, Python, GO, PHP, Javascript, etc.
Demonstrated leadership in building and leading teams across multiple geographies and speaking at large events covering keynote topics on innovation and technology."
Google,"Presales Manager, New Business Development","Experience in Sales Management and/or Sales Operations, including comfort with metrics, incentives, tools, training and process improvements.
Experience planning, forecasting business goals and leading business reviews.
Ability to navigate and operate across a complex, cross-functional environment."
Google,"Technical Solutions Consultant, Google Technical Services (English, German)","Experience working with and managing external partners/customers.
Familiarity with SQL/MySQL and Unix/Linux operating systems/commands.
Demonstrated ability to adapt your message to the technical level of the audience and comfort presenting technical materials to groups of any size and background.
Excellent project management skills and attention to detail.
Excellent problem solving, analytical and troubleshooting skills."
Google,"Solutions Consultant, Ads, Google Professional Services","Experience managing technical system implementation projects in a consulting industry.
Familiarity with the ad serving industry, ad exchanges and networks. Knowledge of Google Platforms (DoubleClick Bid Manager, DoubleClick for Advertisers, DoubleClick Search V3, DoubleClick For Publishers and AdWords).
Demonstrated ability to be flexible/adaptable in exercising judgment in a dynamic environment and able to manage competing priorities.
Ability to absorb complex technical concepts and communicate them to a non-technical audience effectively."
Google,"Chief of Staff, Google Hardware","MBA and/or graduate degree.
Experience partnering effectively with cross-functional teams or projects.
Experience working with external C-level partners and an understanding of consumer products including retail distribution.
Ability to work across multiple functions - including Sales, Communications, Finance, with working knowledge of Product, Engineering, Marketing, Legal, HR and Operations.
Ability to effectively influence and communicate cross-functionally with all levels of management with exceptional verbal and written communication skills.
Effective Program Management skills, with demonstrated ability to lead complex strategic and operational initiatives."
Google,"Measurement Solutions Consultant, Google Technical Services","Experience using and/or deploying digital analytics and measurement solutions.
Experience with SaaS model.
Experience with data analytics, big data and data warehouses. Experience with the data flow process – ingesting, manipulating and running reports.
Knowledge of data driven attribution, methodology and attribution solutions. Familiarity with digital media (display, paid search, video ads, mobile ads, email marketing, affiliates).
Understanding of database tables. Familiar with SQL and relational databases.
Demonstrated project management skills (setting timelines, milestones, expectations, cross-functional team management, organization and prioritization)."
Google,"Big Data Product Specialist, Google Cloud (English)","Master's degree in Computer Science or a related technical field.
Experience serving as a Technical Sales Engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team). Experience with Big Data, Platform/Infrastructure-as-a-Service (PaaS/IaaS) technologies.
Experience in writing code in a common web or mobile development language such as Java, JavaScript, Python, Go and PHP. Experience developing for Android or iOS platforms.
Experience with developing data warehousing, batch or real-time event processing and ETL workflows solutions which could include architecture, implementing, tuning, schema design, and query optimization of scalable and distributed systems.
Working knowledge of Linux, Web 2.0 development platforms, solutions, and related technologies (HTTP, Basic/NTLM, sessions, XML/XSLT/XHTML/HTML). Demonstrated understanding of DNS, TCP, Firewalls, Proxy Servers, Load Balancing, VPN and VPC.
Ability to quickly learn, understand and work with new and emerging technologies, methodologies, and solutions in the cloud/IT technology space."
Google,"Global Supply Chain Manager, Cable and Connector, Consumer Hardware","5 years of relevant work experience in global supply chain management within consumer electronics with knowledge of manufacturing and supply chain processes.
Experience with cable or connector commodities.
Demonstrated experience collaborating and working cross-functionally with engineering teams and product teams. Experience working and partnering with suppliers.
Proven track record in driving overall ramp readiness with engineering, operations, and supplier teams.
Excellent communication, sourcing, negotiation and collaboration skills.
Ability to travel as needed."
Google,Technical Contracts Manager,"MBA, MS, JD or other advanced degree.
2 years of experience working with internet products and technologies.
Experience drafting, reviewing and approving agreements and/or statements of work.
Expertise in analytical and structured problem-solving operations.
Effective leadership, management and collaboration skills in a cross-functional team environment.
Excellent communication skills and attention to detail, with the ability to operate in a fast-paced, dynamic environment."
Google,"High Performance Computing (HPC) Specialist, Google Cloud","Master's degree in Computer Science or other technical field.
Experience with networking concepts including: routing, VPNs, load balancers, and firewalls.
Experience architecting and developing software or infrastructure for scalable, distributed systems.
Experience in HPC infrastructure, such as message passing interface (MPI), HPC networks (Infiniband, RDMA), container management (Docker, Kubernetes) and GPU programming.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies and solutions in the cloud/IT technology space.
Effective presentation skills, with the ability to deliver a technical pitch."
Google,"Technical Program Manager, Google Cloud Functions","Master's degree in a technical discipline (e.g. Computer Science/Electrical Engineering) or MBA.
Experience with Cloud platforms and technologies
Proven project management or technical management experience leading large-scale, aggressive, and dynamic technical projects
Strong technical acumen. Ability to quickly learn and understand the technical context of programs you drive and to contribute to technical discussions that affect your programs
Solid knowledge of software development best practices. Self driven, excellent interpersonal, communication, and cross-functional leadership skills.
Ability to interact with diverse technical and non-technical audiences, spanning all organizational levels. Solid ability to focus on the short-term priorities while retaining your strategic thinking and your longer-term foresight"
Google,Software Engineer,"Master’s, PhD degree, further education or experience in engineering, computer science or other technical related field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Interest and ability to learn other coding languages as needed."
Google,"Solutions Architect, Healthcare and Life Sciences, Google Cloud","Master's degree in Computer Science, related Engineering field, or equivalent work experience.
5 years of experience working with a variety of technology systems, designing solutions or developing applications in healthcare and/or life science environments.
Experience working closely with Sales and Marketing teams in cloud computing or related technical fields.
Understanding of current trends of healthcare and/or life sciences infrastructure, (including databases, enterprise integration buses, protocols, APIs and formats), security, networking and cloud-based delivery models.
Ability to communicate complex technical concepts in an approachable way for broad audiences, empowering them with memorable and useful information."
Google,"Program Manager, Operations, Google Cloud Web","Demonstrated Project Management skills, with the ability to manage complex operational initiatives.
Demonstrated ability to multitask, analyze opportunities, define effective approaches, and proactively overcome challenges.
Ability to operate in an environment of ambiguity and create order, with a motivated approach."
Google,"High Performance Computing (HPC) Specialist, Google Cloud","Master's degree in Computer Science or other technical field.
Experience with networking concepts including: routing, VPNs, load balancers, and firewalls.
Experience architecting and developing software or infrastructure for scalable, distributed systems.
Experience in HPC infrastructure, such as message passing interface (MPI), HPC networks (Infiniband, RDMA), container management (Docker, Kubernetes) and GPU programming.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies and solutions in the cloud/IT technology space.
Effective presentation skills, with the ability to deliver a technical pitch."
Google,"Vendor Operations Specialist (EMEA), Google Technical Services Consumers","Project management experience.
Resource Planning experience in a multi-lingual, multi-site, contact center environment.
Understanding of Cost Management principles in the outsource contact centre industry.
Knowledge of vendor operations strategy, performance management as well as contracts and negotiation principles.
Strong business acumen with strong analytical and structured problem solving capabilities.
Exceptional leadership, management, communication and collaboration skills."
Google,"Solution Architect, Google Cloud Platform (Apigee)","Experience with or deep understanding of private, public and hybrid cloud design considerations and limitations in the areas of virtualization and global infrastructure, distributed systems, load balancing and networking, and security.
Experience in architecting and/or implementing API based solutions with sound hands-on familiarity with related standards such as HTTP, REST, SOAP and OAuth.
Ability to communicate effectively and influence stakeholders in internal and external engineering teams, product development teams, sales operations teams as well as external Google partners and end consumers.
Excellent presentation, verbal and written communication skills."
Google,"Graphics Software Engineer, Robotics Simulation, Google Cloud Platform","Experience writing highly optimized and efficient code.
Prior experience in robotics.
Experience shipping high-quality game titles."
Google,"Technical Writer, University Graduate","Graduating from BA/BS degree or MA/MS degree in 2018.
Familiarity with source code management, build systems and related processes, and the ability to quickly learn and use technology.
Proficiency with HTML, CSS and a UNIX environment.
Ability to manage multiple competing priorities in a fast-paced, constantly changing environment."
Google,"Solutions Architect, Healthcare and Life Sciences, Google Cloud","Master's degree in Computer Science, related Engineering field, or equivalent work experience.
5 years of experience working with a variety of technology systems, designing solutions or developing applications in healthcare and/or life science environments.
Experience working closely with Sales and Marketing teams in cloud computing or related technical fields.
Understanding of current trends of healthcare and/or life sciences infrastructure, (including databases, enterprise integration buses, protocols, APIs and formats), security, networking and cloud-based delivery models.
Ability to communicate complex technical concepts in an approachable way for broad audiences, empowering them with memorable and useful information."
Google,"Technical Program Manager, Cloud Infrastructure Planning and Resource Management","MBA or MS in Engineering.
5 years of experience managing complex cross-functional programs.
Experience working with supply chain management systems or processes.
Experience working with software engineering teams, business owners, and product managers.
Ability to understand and communicate complex technical concepts to a variety of audiences easily.
Excellent communication and negotiation skills, demonstrated ability to work cross-functionally with multiple teams and stakeholders."
Google,Measurement and Attribution Specialist (Northern Europe),"Relevant experience in creating online marketing and advertising strategies for performance focused clients.
Extensive experience with running online ad effectiveness tests and experiments.
Experience working with attribution models.
Advanced knowledge of Google Analytics and other analytics tools (e.g. Adobe, SiteCatalyst, Piwik etc.).
Excellent presentation and communication skills.
Ability to speak and write in English fluently and idiomatically, along with the ability to speak and write in one of the following languages: Norwegian, Swedish, Finnish or Danish."
Google,Global Partner Business Development Manager,"Master's degree in a technical (Computer Science/Software Engineering) or MBA.
10 years of partner programs experience at an enterprise software (or Cloud) company and experience with competitive partner programs.
5 years of experience in marketing.
Experience in transition channel models to include cloud, SaaS, Services and Advisory Programs. Experience building global GTM initiatives with strategic partners.
Strong leadership skills in driving global business planning, initiatives and adoption into the regions.
Passionate about the partners, possessing the drive to achieve quick results, and have the capacity to assume increasing responsibility in a highly successful, fast-paced global organization."
Google,"Technical Program Manager, Corporate Engineering","Experience aligning multiple groups around a single objective.
Knowledge of software tools to maintain project plans and integrate them with other tracking tools (e.g. App Scripts, spreadsheet software, etc).
Familiarity in Coding (e.g., C/C++, Python, Java).
Demonstrated ability to manage competing priorities without loss of efficiency.
Demonstrated ability to effectively communicate technical information to a variety of audiences.
Ability to understand complex technical concepts, with experience in systems administration or engineering."
Google,"Solutions Engineer, Google Cloud Healthcare and Life Sciences","Master's degree in Computer Science, Biomedical Engineering or other technical field.
Experience with networking concepts including: routing, VPNs, load balancers, and firewalls.
Experience in and understanding of data and information management - especially as it relates to healthcare and life sciences data and informatics, including understanding of compliance and regulatory environment.
Experience architecting and developing software or infrastructure for scalable, distributed systems in healthcare and life sciences.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies and solutions in the cloud/IT technology space."
Google,"Technical Specialist, Google Technical Services, Ads","MBA or MS degree.
4 years of relevant experience overall as a technical consultant and/or sales engineer. 2 years of experience in digital ad products (DoubleClick or competitive offerings).
Experience building/troubleshooting web pages using HTML, JS, CSS and/or Chrome developer tools.
Knowledge in scripting in one of the scripting languages such as Python/Google Apps Script.
Working knowledge of relational databases and ability to construct SQL queries to analyze data
Excellent written and oral communication skills with proven ability to quickly absorb technical concepts and effectively communicate them to a non-technical audience. Ability to work independently and manage multiple projects simultaneously. Creative problem solving, strong analytical and project management skills."
Google,"Strategic Cloud Engineer, Google Cloud Professional Services","Experience with open source software (such as Cassandra, MongoDB, RabbitMQ) and enterprise Content Management or Business Applications (CRM, ERP, etc.).
Experience in Google Cloud Platform and/or other public cloud products.
Understanding of solution architecture within web and mobile environments and technical experience of web/internet related technologies, architecture across SAAS, PAAS and IAAS and competitive cloud productivity suites. Familiarity with architecture and operational aspects of large scale distributed systems; Familiarity with the popular technologies in the machine learning/big data ecosystem (Tensorflow, Spark, etc)
Technical experience in Web technologies such as HTML, XML, JSON, OAuth 2 along with experience in analysis of relational data in MySQL, Google BigQuery or similar.
Ability to work and communicate effectively and influence stakeholders in internal and external engineering teams, product development teams, sales ops teams as well as external Google partners and end consumers.
Excellent presentation, verbal and written communication skills."
Google,Partner Onboarding Manager (Americas),"Master's degree in technical field (Computer Science/Software Engineering) or an MBA.
10 years of partner programs experience at an Enterprise Software (or Cloud) company and experience with competitive partner programs.
Experience in transition channel models to include cloud, SaaS, Services and Advisory Programs.
Ability to collaborate and build relationships with individuals of varying levels of experience and department functions.
Passionate about the partners, possessing the drive to achieve quick results, and have the capacity to assume increasing responsibility in a highly successful, fast-paced global organization.
Exceptionally strong communication skills with the ability to effectively converse with partners, resolve conflict, deliver presentations, and design scalable email correspondence for partners."
Google,"Security Product Specialist, Google Cloud Platform","Master's degree in Computer Science or a related technical technical field.
Experience serving as a Customer Service Operative or Technical Sales Engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team).
Experience writing code in a common web or mobile development language (Java, Javascript, Python, GO and PHP) and experience developing for Android or iOS platforms.
Experience installing, optimizing and maintaining large cross-country networks, leveraging both traditional and innovative protocol frameworks. Experience in managing large and complex network implementations.
Knowledge of Main Traditional Security Protocols (OAuth, OpenID, HTTPS-TLS-SSL, PKI), and knowledge of Identity and Access Management solutions and Encryption solutions.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud/IT Technology space."
Google,"Media and Entertainment Specialist, Google Cloud","Master's degree in Computer Science or other technical field.
Experience with networking concepts including routing, VPNs, load balancers and firewalls.
Experience architecting and developing software or infrastructure for scalable, distributed systems.
Knowledge of compressed and uncompressed digital video and audio standards (H.264, MPEG-2) and video architectures (RTMP, HTTP, RTSP, origins, cache, CDNs, dynamic ad insertion (DAI), HLS, MPEG-DASH, adaptive bitrate (ABR), bit range requests).
Understanding of web development protocols (i.e. HTML5, AJAX, XML, JSON, RFCs 2109/2965, 1945/2616).
Ability to quickly learn, understand, and work with new and emerging technologies, methodologies, and solutions in the cloud/IT Technology space. Effective presentation skills, with the ability to deliver a technical presentation."
Google,"Product Operations Program Manager, Consumer Hardware","MBA or Master's degree in Industrial Engineering, Supply Chain, Operations Research, Operations Engineering or other relevant field.
Experience in the consumer technology market and consultation experience with OEMs, CMs/ODMs and third-party suppliers.
Experience working with global and cross-functional internal and external teams.
Experience in multiple aspects of hardware operations.
Knowledge of hardware BOMs, process documentation and assembly and test processes.
Effective analytical, quantitative reasoning, problem solving, creativity and strategic skills."
Google,"Media and Entertainment Specialist, Google Cloud","Master's degree in Computer Science or other technical field.
Experience with networking concepts including routing, VPNs, load balancers and firewalls.
Experience architecting and developing software or infrastructure for scalable, distributed systems.
Knowledge of compressed and uncompressed digital video and audio standards (H.264, MPEG-2) and video architectures (RTMP, HTTP, RTSP, origins, cache, CDNs, dynamic ad insertion (DAI), HLS, MPEG-DASH, adaptive bitrate (ABR), bit range requests).
Understanding of web development protocols (i.e. HTML5, AJAX, XML, JSON, RFCs 2109/2965, 1945/2616).
Ability to quickly learn, understand, and work with new and emerging technologies, methodologies, and solutions in the cloud/IT Technology space. Effective presentation skills, with the ability to deliver a technical presentation."
Google,"Community Enablement Manager, Global Partner, Google Cloud","MBA or Master's degree.
Experience with Partner Advisory Councils and Partner Focus Groups worldwide.
Experience with transition channel models to include cloud, SaaS, Services and Advisory Programs.
Ability to manage numerous infrastructure projects simultaneously and drive them to successful completion, with a wide range of stakeholders and timelines."
Google,"Cloud Consultant, Professional Services, Google Cloud","Experience reading software code in one or more language such as Java, JavaScript, Python, etc.
Experience working with channel partners, systems integrators and third-party developers to deliver effective solutions.
Ability to work in a cross-functional and geographically dispersed team as well as evolving and ambiguous environments.
Excellent written and verbal communication skills, including presentation writing and delivery."
Google,"Strategic Cloud Engineer, Google Professional Services","Experience working data warehouses, including data warehouse technical architectures, infrastructure components, ETL/ ELT and reporting/analytic tools and environments, data structures.
Experience in big data, information retrieval, data mining or machine learning.
Experience building multi-tier high availability applications with modern web technologies (such as NoSQL, MongoDB, SparkML, Tensorflow).
Experience architecting, developing software, or internet scale production-grade Big Data solutions in virtualized environments such as Google Cloud Platform.
Experience in technical consulting."
Google,"Engineering Manager, Consumer Hardware","MS or PhD degree in Electrical Engineering or Mechanical Engineering.
15 years of relevant engineering experience with proven knowledge for consumer electronics in all stages from concept to mass production.
Demonstrated ability to lead a team implementing multiple complex and mission-critical projects.
Strong cross-functional communication skills and ability to leverage team to manage priorities and staffing."
Google,"Software Engineer, Performance Modeling","Familiarity with computer architecture, especially ARM SoC architecture and AMBA protocols
Experience in SystemC or RTL
Experience in IP modeling and hardware/software co-design"
Google,"Associate Account Strategist (Hungarian), Global Customer Experience","Experience in sales, customer service, account management, marketing or consulting.
Experience in leading, motivating and working effectively within a team.
Demonstrated record of managing and customizing experience to a specific customer base.
Demonstrated ability to multi-task and to manage multiple projects while working in a fast-paced environment.
Ability to work towards strategic goals.
Effective organizational skills, with the ability to work independently and proactively."
